Periode,Tanggal,Farah
501,3/19/2025,56787
502,3/20/2025,56784
503,3/21/2025,59951
504,3/22/2025,48275
505,3/23/2025,43641
506,3/24/2025,55309
507,3/25/2025,56098
508,3/26/2025,56386
509,3/27/2025,55191
510,3/28/2025,58493
511,3/29/2025,47300
512,3/30/2025,54527
513,3/31/2025,63542
514,4/1/2025,58783
515,4/2/2025,55285
516,4/3/2025,52397
517,4/4/2025,50295
518,4/5/2025,41095
519,4/6/2025,42329
520,4/7/2025,54565
521,4/8/2025,56016
522,4/9/2025,55590
523,4/10/2025,56618
524,4/11/2025,60289
525,4/12/2025,48874
526,4/13/2025,47020
527,4/14/2025,58917
528,4/15/2025,59803
529,4/16/2025,62982
530,4/17/2025,61465
531,4/18/2025,63559
532,4/19/2025,52567
533,4/20/2025,46891
534,4/21/2025,58806
535,4/22/2025,59187
536,4/23/2025,58651
537,4/24/2025,59267
538,4/25/2025,62226
539,4/26/2025,51168
540,4/27/2025,45702
541,4/28/2025,58492
542,4/29/2025,58142
543,4/30/2025,62445
544,5/1/2025,51892
545,5/2/2025,62407
546,5/3/2025,53680
547,5/4/2025,45313
548,5/5/2025,59914
549,5/6/2025,59605
550,5/7/2025,60206
551,5/8/2025,60569
552,5/9/2025,62674
553,5/10/2025,55656
554,5/11/2025,58142
555,5/12/2025,46499
556,5/13/2025,59407
557,5/14/2025,58814
558,5/15/2025,59898
559,5/16/2025,61306
560,5/17/2025,49403
561,5/18/2025,42852
562,5/19/2025,57035
563,5/20/2025,58811
564,5/21/2025,60208
565,5/22/2025,60620
566,5/23/2025,65132
567,5/24/2025,56059
568,5/25/2025,46670
569,5/26/2025,54785
570,5/27/2025,56716
571,5/28/2025,60401
572,5/29/2025,62840
573,5/30/2025,66455
574,5/31/2025,59536
575,6/1/2025,63271
576,6/2/2025,48644
577,6/3/2025,61195
578,6/4/2025,60373
579,6/5/2025,60136
580,6/6/2025,59910
581,6/7/2025,61041
582,6/8/2025,54318
583,6/9/2025,56409
584,6/10/2025,58405
585,6/11/2025,59653
586,6/12/2025,58792
587,6/13/2025,61824
588,6/14/2025,51582
589,6/15/2025,45601
590,6/16/2025,57615
591,6/17/2025,58409
592,6/18/2025,59505
593,6/19/2025,57890
594,6/20/2025,62276
595,6/21/2025,47895
596,6/22/2025,45718
597,6/23/2025,56785
598,6/24/2025,56860
599,6/25/2025,58354
600,6/26/2025,59612
