Periode,Tanggal,Farah
501,2025-03-19,56787
502,2025-03-20,56784
503,2025-03-21,59951
504,2025-03-22,48275
505,2025-03-23,43641
506,2025-03-24,55309
507,2025-03-25,56098
508,2025-03-26,56386
509,2025-03-27,55191
510,2025-03-28,58493
511,2025-03-29,47300
512,2025-03-30,54527
513,2025-03-31,63542
514,2025-04-01,58783
515,2025-04-02,55285
516,2025-04-03,52397
517,2025-04-04,50295
518,2025-04-05,41095
519,2025-04-06,42329
520,2025-04-07,54565
521,2025-04-08,56016
522,2025-04-09,55590
523,2025-04-10,56618
524,2025-04-11,60289
525,2025-04-12,48874
526,2025-04-13,47020
527,2025-04-14,58917
528,2025-04-15,59803
529,2025-04-16,62982
530,2025-04-17,61465
531,2025-04-18,63559
532,2025-04-19,52567
533,2025-04-20,46891
534,2025-04-21,58806
535,2025-04-22,59187
536,2025-04-23,58651
537,2025-04-24,59267
538,2025-04-25,62226
539,2025-04-26,51168
540,2025-04-27,45702
541,2025-04-28,58492
542,2025-04-29,58142
543,2025-04-30,62445
544,2025-05-01,51892
545,2025-05-02,62407
546,2025-05-03,53680
547,2025-05-04,45313
548,2025-05-05,59914
549,2025-05-06,59605
550,2025-05-07,60206
551,2025-05-08,60569
552,2025-05-09,62674
553,2025-05-10,55656
554,2025-05-11,58142
555,2025-05-12,46499
556,2025-05-13,59407
557,2025-05-14,58814
558,2025-05-15,59898
559,2025-05-16,61306
560,2025-05-17,49403
561,2025-05-18,42852
562,2025-05-19,57035
563,2025-05-20,58811
564,2025-05-21,60208
565,2025-05-22,60620
566,2025-05-23,65132
567,2025-05-24,56059
568,2025-05-25,46670
569,2025-05-26,54785
570,2025-05-27,56716
571,2025-05-28,60401
572,2025-05-29,62840
573,2025-05-30,66455
574,2025-05-31,59536
575,2025-06-01,63271
576,2025-06-02,48644
577,2025-06-03,61195
578,2025-06-04,60373
579,2025-06-05,60136
580,2025-06-06,59910
581,2025-06-07,61041
582,2025-06-08,54318
583,2025-06-09,56409
584,2025-06-10,58405
585,2025-06-11,59653
586,2025-06-12,58792
587,2025-06-13,61824
588,2025-06-14,51582
589,2025-06-15,45601
590,2025-06-16,57615
591,2025-06-17,58409
592,2025-06-18,59505
593,2025-06-19,57890
594,2025-06-20,62276
595,2025-06-21,47895
596,2025-06-22,45718
597,2025-06-23,56785
598,2025-06-24,56860
599,2025-06-25,58354
600,2025-06-26,59612
